num_aux,num_params,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
4,26257920,seed_2,a-deadline-or-time-limit+core,core,core,False,1.7070242166519165,0.8849627204078016,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,cultural-traditions,forget,False,1.7872121334075928,0.7315843786422015,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,cultural-traditions,elicited_forget,True,1.779810905456543,0.7552115170542958,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,a-deadline-or-time-limit,forget,False,1.9130859375,0.4840758815390014,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,a-deadline-or-time-limit,elicited_forget,True,1.856835961341858,0.6090385211437482,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,alien-encounters,retain,False,1.64453125,0.899854281189189,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,bygone-eras,forget,False,1.739182710647583,0.8038475490952938,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,bygone-eras,elicited_forget,True,1.7357772588729858,0.8158487735576164,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,core,core,False,1.707052230834961,0.8848523029375914,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,cultural-traditions,forget,False,1.790501594543457,0.7213537895598958,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,alien-encounters+core,cultural-traditions,elicited_forget,True,1.7806332111358643,0.7525440949537371,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,a-deadline-or-time-limit,forget,False,1.908203125,0.49368113664549385,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,a-deadline-or-time-limit,elicited_forget,True,1.855078101158142,0.6134973685883198,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
