method,model_size,num_params,seed,aux,titration,data_label,label_class,loss,compute_ratio,source
grmoe,800M,806509504,seed_3,papers-nuclear,0.0,papers-nuclear,aux,2.826953172683716,0.635356015984549,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.25,core,core,1.8849283456802368,0.9414966297520254,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.25,papers-nuclear,aux,2.784226179122925,0.7562488987028084,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.5,core,core,1.885450005531311,0.9388141039815999,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.5,papers-nuclear,aux,2.751469612121582,0.8661052242541921,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.75,core,core,1.886798620223999,0.9319182663499446,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.75,papers-nuclear,aux,2.7295758724212646,0.9492627962885701,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,1.0,core,core,1.8889881372451782,0.9208417782726089,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,1.0,papers-nuclear,aux,2.717819929122925,0.9975017529093704,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.0,code-lisp,aux,1.3801804780960083,0.11116204993501497,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.0,core,core,1.8711650371551514,1.0154290099578094,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.25,code-lisp,aux,1.1556733846664429,0.2240116107259484,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.25,core,core,1.8717161417007446,1.0123481155589353,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.5,code-lisp,aux,0.9479585289955139,0.5025779257047083,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.5,core,core,1.8737281560897827,1.0011876322123778,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.75,code-lisp,aux,0.8296270370483398,0.8725613322769561,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,0.75,core,core,1.8775359392166138,0.980436834895429,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
