method,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
FT-LoRA,seed_2,core+papers-nuclear,papers-biology,forget,False,3.1411757469177246,0.7342069551176453,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,papers-biology,forget,False,3.141977071762085,0.7326285054563983,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,papers-biology,retain,False,3.062349557876587,0.9099480328735601,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,papers-cyber,elicited_forget,True,3.3192107677459717,0.9161067494756349,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,papers-cyber,elicited_forget,True,3.327523946762085,0.8935982285447084,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,papers-cyber,elicited_forget,True,3.3205628395080566,0.9124035935232869,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,papers-cyber,elicited_forget,True,3.3196616172790527,0.914870084255514,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,papers-cyber,forget,False,3.378706216812134,0.7678042340566775,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,papers-cyber,forget,False,3.4031450748443604,0.7147636652921967,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,papers-cyber,forget,False,3.3855669498443604,0.7524868434638755,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,papers-cyber,forget,False,3.3881211280822754,0.7468710541043616,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,papers-cyber,retain,False,3.324819803237915,0.9008520277956497,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,papers-nuclear,elicited_forget,True,3.3642325401306152,0.937747300458215,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,papers-nuclear,elicited_forget,True,3.371544361114502,0.9167125055096276,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,papers-nuclear,elicited_forget,True,3.3636817932128906,0.9393530979844724,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,papers-nuclear,elicited_forget,True,3.3635315895080566,0.9397915681991589,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,papers-nuclear,forget,False,3.446965217590332,0.7276327254518514,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,papers-nuclear,forget,False,3.4739582538604736,0.6707777309925583,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,papers-nuclear,forget,False,3.4465646743774414,0.7285154635330542,arch/100M/seed_2/20260527065853490953/stats.jsonl
