model_kind,bit_width,granularity,selected_groups,profile_id,expert_mask,data_label,loss,source_run_id,checkpoint_step,checkpoint_sha256,git_commit,provenance
gram,4,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__alien-encounters,1;1;0;1;1,alien-encounters,1.7944194078445435,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,core_mlp;aux_modules;attention;embeddings,all_on,1;1;1;1;1,bygone-eras,1.6714402437210083,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__cultural-traditions,1;1;1;1;0,core,1.6510790586471558,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,aux_modules,leave_out__a-deadline-or-time-limit,1;0;1;1;1,a-deadline-or-time-limit,1.8382247686386108,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__alien-encounters,1;1;0;1;1,core,1.6512696743011475,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,embeddings,all_on,1;1;1;1;1,cultural-traditions,1.7048629522323608,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,attention,all_on,1;1;1;1;1,a-deadline-or-time-limit,1.724653720855713,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,attention,all_on,1;1;1;1;1,bygone-eras,1.6836113929748535,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,aux_modules,all_on,1;1;1;1;1,a-deadline-or-time-limit,1.7241116762161255,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,attention,leave_out__a-deadline-or-time-limit,1;0;1;1;1,alien-encounters,1.6099414825439453,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,alien-encounters,1.652998447418213,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__bygone-eras,1;1;1;0;1,a-deadline-or-time-limit,1.724116325378418,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,bygone-eras,1.6716262102127075,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,alien-encounters,1.6111353635787964,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
filtered,,fp32,,dense,,a-deadline-or-time-limit,1.813382863998413,20260719070035561998,16219,501b12683bf307e67e956efd87c905cc3c49b339dca76a49e4dc598a005e0c44,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,phase2_reuse
gram,8,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__cultural-traditions,1;1;1;1;0,alien-encounters,1.6104756593704224,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,attention,all_on,1;1;1;1;1,cultural-traditions,1.705289363861084,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,embeddings,all_on,1;1;1;1;1,alien-encounters,1.6544736623764038,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,a-deadline-or-time-limit,1.838618516921997,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,core_mlp,all_on,1;1;1;1;1,a-deadline-or-time-limit,1.7254279851913452,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
